Gene_Name	Accession-1	Left-End-Position	Right-End-Position	Product
BW25113_RS11425	BW25113_RS11425	2279690	2279766	tRNA-Pro
paaG	BW25113_RS07315	1452521	1453309	putative_ring_1,2-epoxyphenylacetyl-CoA_isomerase_(oxepin-CoA_forming)
yjiR	BW25113_RS22600	4559979	4561391	fused_putative_DNA-binding_transcriptional_regulator/putative_aminotransferase_YjiR
dgcJ	BW25113_RS09345	1866298	1867788	diguanylate_cyclase_DgcJ
ubiX	BW25113_RS12070	2421536	2422105	flavin_prenyltransferase
yfdM	BW25113_RS12290	2465591	2465866	CPS-53_(KpLE1)_prophage;_putative_methyltransferase_YfdM
uup	BW25113_RS04920	1005420	1007327	ATP-binding_protein_Uup
BW25113_RS12500	BW25113_RS12500	2511520	2511595	tRNA-Ala
hyfI	BW25113_RS12985	2604065	2604823	hydrogenase_4_catalytic_subunit_HyfI
kgtP	BW25113_RS13510	2717807	2719105	&alpha;-ketoglutarate:H<sup>+</sup>_symporter
ghxP	BW25113_RS21105	4268407	4269756	guanine/hypoxanthine_transporter_GhxP
tilS	BW25113_RS00940	208818	210116	tRNAIle-lysidine_synthetase
sucB	BW25113_RS03765	756978	758195	2-oxoglutarate_dehydrogenase_E2_subunit
nuoN	BW25113_RS11890	2383527	2384984	NADH:quinone_oxidoreductase_subunit_N
recB	BW25113_RS14665	2945820	2949362	exodeoxyribonuclease_V_subunit_RecB
fhlA	BW25113_RS14215	2847697	2849775	DNA-binding_transcriptional_activator_FhlA
yahB	BW25113_RS01630	329212	330144	putative_LysR-type_DNA-binding_transcriptional_regulator_YahB
yjgM	BW25113_RS22095	4468851	4469354	putative_<i>N</i>-acetyltransferase_YjgM
narP	BW25113_RS11445	2283979	2284626	DNA-binding_transcriptional_dual_regulator_NarP
yjfY	BW25113_RS21815	4414333	4414608	DUF1471_domain-containing_protein_YjfY
ybjH	BW25113_RS04375	880402	880686	uncharacterized_protein_YbjH
yieP	BW25113_RS19515	3933995	3934687	DNA-binding_transcriptional_dual_regulator_YieP
ulaD	BW25113_RS21800	4412003	4412653	3-keto-L-gulonate-6-phosphate_decarboxylase_UlaD
yrdD	BW25113_RS17025	3424779	3425321	putative_DNA_topoisomerase
gsiC	BW25113_RS04315	866423	867343	glutathione_ABC_transporter_membrane_subunit_GsiC
yojO	BW25113_RS25870	2297085	2297249	uncharacterized_protein_YojO
ybjN	BW25113_RS04425	888413	888889	protein_YbjN
rluE	BW25113_RS05905	1189754	1190407	23S_rRNA_pseudouridine<sup>2457</sup>_synthase
ansA	BW25113_RS09250	1845117	1846133	L-asparaginase_1
ymfT	BW25113_RS05950	1198480	1198680	e14_prophage;_putative_DNA-binding_transcriptional_regulator_YmfT
BW25113_RS02770	BW25113_RS02770	562140	562229	protein_ren
gstA	BW25113_RS08560	1708634	1709239	glutathione_<i>S</i>-transferase_GstA
yggN	BW25113_RS15360	3094263	3094982	DUF2884_domain-containing_protein_YggN
BW25113_RS07655	BW25113_RS07655	1524843	1525987	ISAs1_family_transposase
ymgI	BW25113_RS06100	1218446	1218619	uncharacterized_protein_YmgI
yddA	BW25113_RS07845	1571914	1573599	ABC_transporter_family_protein_YddA
dinI	BW25113_RS05530	1116698	1116943	DNA_damage-inducible_protein_I
iclR	BW25113_RS20845	4212732	4213556	DNA-binding_transcriptional_repressor_IclR
pinR	BW25113_RS07210	1427341	1427931	Rac_prophage;_putative_site-specific_recombinase
yfdV	BW25113_RS12375	2482721	2483665	transporter_YfdV
fabI	BW25113_RS06745	1344508	1345296	enoyl-[acyl-carrier-protein]_reductase
kilR	BW25113_RS07105	1412265	1412486	Rac_prophage;_inhibitor_of_FtsZ
blr	BW25113_RS08500	1698808	1698933	&beta;-lactam_resistance_protein
hpf	BW25113_RS16600	3339532	3339819	ribosome_hibernation-promoting_factor
potF	BW25113_RS04435	889240	890352	putrescine_ABC_transporter_periplasmic_binding_protein
mcrA	BW25113_RS06015	1205802	1206635	e14_prophage;_Type_IV_methyl-directed_restriction_enzyme_EcoKMcrA
cmtA	BW25113_RS15235	3070830	3072218	mannitol-specific_PTS_enzyme_IICB_component_CmtA
adhP	BW25113_RS07750	1547085	1548095	ethanol_dehydrogenase_/_alcohol_dehydrogenase
nrfA	BW25113_RS21135	4277692	4279128	cytochrome_<i>c</i><sub>552</sub>_nitrite_reductase
alpA	BW25113_RS13690	2752003	2752215	CP4-57_prophage;_DNA-binding_transcriptional_activator_AlpA
rhoL	BW25113_RS19635	3959591	3959692	<i>rho</i>_operon_leader_peptide
adiC	BW25113_RS21370	4325511	4326848	arginine:agmatine_antiporter
stpA	BW25113_RS13895	2791450	2791854	DNA-binding_transcriptional_repressor_StpA_with_RNA_chaperone_activity
ftsL	BW25113_RS00415	87519	87884	cell_division_protein_FtsL
agaV	BW25113_RS16245	3273576	3274049	<i>N</i>-acetyl-D-galactosamine_specific_PTS_enzyme_IIB_component
murG	BW25113_RS00450	96131	97198	N-acetylglucosaminyl_transferase
hdeD	BW25113_RS18195	3650355	3650927	acid-resistance_membrane_protein
yqeB	BW25113_RS14950	3005973	3007598	XdhC-CoxI_family_protein_YqeB
yahD	BW25113_RS01640	330991	331596	ankyrin_repeat-containing_protein_YahD
btuR	BW25113_RS06615	1322024	1322614	cobinamide/cobalamin_adenosyltransferase
sra	BW25113_RS07760	1550083	1550220	ribosome-associated_protein_Sra
dtpA	BW25113_RS08555	1707026	1708528	dipeptide/tripeptide:H<sup>+</sup>_symporter_DtpA
fdnI	BW25113_RS07740	1545595	1546248	formate_dehydrogenase_N_subunit_&gamma;
aroP	BW25113_RS00560	116665	118038	aromatic_amino_acid:H<sup>+</sup>_symporter_AroP
mioC	BW25113_RS19450	3919372	3919815	flavoprotein_MioC
napG	BW25113_RS11505	2293044	2293739	ferredoxin-type_protein_NapG
frlB	BW25113_RS17475	3494627	3495649	fructoselysine_6-phosphate_deglycase
fhuB	BW25113_RS00770	167949	169931	iron(III)_hydroxamate_ABC_transporter_membrane_subunit
nikA	BW25113_RS17995	3607027	3608601	nickel_ABC_transporter_periplasmic_binding_protein
fruK	BW25113_RS11315	2254906	2255844	1-phosphofructokinase
astC	BW25113_RS09145	1825019	1826239	succinylornithine_transaminase
ppdD	BW25113_RS00535	113596	114036	prepilin_peptidase-dependent_pilin
pgaD	BW25113_RS05320	1081562	1081975	poly-<i>N</i>-acetyl-D-glucosamine_synthase_subunit_PgaD
ilvM	BW25113_RS19575	3945561	3945824	acetolactate_synthase_II_subunit_IlvM
pgaC	BW25113_RS05325	1081977	1083302	poly-<i>N</i>-acetyl-D-glucosamine_synthase_subunit_PgaC
rraA	BW25113_RS20385	4108773	4109258	ribonuclease_E_inhibitor_protein_A
yohC	BW25113_RS11140	2218523	2219110	putative_inner_membrane_protein
sucA	BW25113_RS03760	754162	756963	subunit_of_E1(0)_component_of_2-oxoglutarate_dehydrogenase
cytR	BW25113_RS20410	4113359	4114384	DNA-binding_transcriptional_repressor_CytR
rimM	BW25113_RS13615	2738729	2739277	ribosome_maturation_factor_RimM
BW25113_RS24960	BW25113_RS24960	524096	524356	hypothetical_protein
ykiD	BW25113_RS25470	404403	404486	protein_YkiD
fadR	BW25113_RS06180	1230394	1231113	DNA-binding_transcriptional_dual_regulator_FadR
lhr	BW25113_RS08650	1723344	1727960	ATP-dependent_helicase_Lhr
nagE	BW25113_RS03500	699400	701346	N-acetylglucosamine-specific_PTS_enzyme_IIABC_component
ygbE	BW25113_RS14305	2866373	2866696	DUF3561_domain-containing_inner_membrane_protein_YgbE
yheT	BW25113_RS17380	3476561	3477583	putative_hydrolase_YheT
ygiC	BW25113_RS15765	3173780	3174940	peptide&mdash;spermidine_ligase_YgiC
malY	BW25113_RS08485	1695214	1696386	negative_regulator_of_MalT_activity/cystathionine_&beta;-lyase
dinD	BW25113_RS18925	3811120	3811944	DNA_damage-inducible_protein_D
chaC	BW25113_RS06355	1267963	1268658	glutathione-specific_&gamma;-glutamylcyclotransferase
qseC	BW25113_RS15705	3163843	3165192	sensor_histidine_kinase_QseC
lptA	BW25113_RS16585	3336739	3337296	lipopolysaccharide_transport_system_protein_LptA
yeiS	BW25113_RS11190	2227079	2227318	DUF2542_domain-containing_protein_YeiS
ybcK	BW25113_RS02800	564358	565884	DLP12_prophage;_putative_recombinase_YbcK
yiaM	BW25113_RS18570	3737688	3738161	2,3-diketo-L-gulonate:Na<sup>+</sup>_symporter_-_membrane_subunit
endA	BW25113_RS15295	3083706	3084413	DNA-specific_endonuclease_I
cheA	BW25113_RS09895	1967617	1969581	chemotaxis_protein_CheA
napA	BW25113_RS11510	2293746	2296232	periplasmic_nitrate_reductase_subunit_NapA
ybhA	BW25113_RS03980	793069	793887	pyridoxal_phosphate/fructose-1,6-bisphosphate_phosphatase
lhgD	BW25113_RS13850	2783341	2784609	L-2-hydroxyglutarate_dehydrogenase
fklB	BW25113_RS21860	4418752	4419372	peptidyl-prolyl_<i>cis-trans</i>_isomerase_FklB
ulaR	BW25113_RS21775	4407515	4408270	DNA-binding_transcriptional_repressor_UlaR
yfcQ	BW25113_RS12185	2444066	2444554	putative_fimbrial_protein_YfcQ
nlpD	BW25113_RS14270	2860973	2862112	murein_hydrolase_activator_NlpD
ygaV	BW25113_RS13885	2790570	2790869	putative_DNA-binding_transcriptional_regulator_YgaV
nrfC	BW25113_RS21145	4279736	4280407	cytochrome_c_nitrite_reductase_Fe-S_protein
BW25113_RS01920	BW25113_RS01920	387195	388357	IS3-like_element_IS3_family_transposase
yfgG	BW25113_RS13065	2622649	2622840	nickel/cobalt_stress_response_protein_YfgG
rpoZ	BW25113_RS18945	3815466	3815741	RNA_polymerase_subunit_&omega;
mqsR	BW25113_RS15685	3161607	3161903	mRNA_interferase_toxin_MqsR
BW25113_RS01025	BW25113_RS01025	222246	225149	23S_ribosomal_RNA
yhjG	BW25113_RS18265	3669650	3671710	AsmA_family_protein_YhjG
pinE	BW25113_RS06010	1205141	1205695	e14_prophage;_site-specific_DNA_recombinase
lolB	BW25113_RS06295	1258333	1258956	outer_membrane_lipoprotein_LolB
msrC	BW25113_RS09600	1909888	1910385	free_methionine-(<i>R</i>)-sulfoxide_reductase
iaaA	BW25113_RS04300	862024	862989	isoaspartyl_dipeptidase_proenzyme
gntR	BW25113_RS17800	3571091	3572086	DNA-binding_transcriptional_repressor_GntR
csgA	BW25113_RS05425	1099903	1100358	curlin
poxB	BW25113_RS04520	904787	906505	pyruvate_oxidase
nfo	BW25113_RS11270	2244319	2245176	endonuclease_IV
ycjY	BW25113_RS06955	1385190	1386110	putative_hydrolase_YcjY
ampD	BW25113_RS00550	115220	115771	1,6-anhydro-<i>N</i>-acetylmuramoyl-L-alanine_amidase
glnE	BW25113_RS15855	3190160	3193000	fused_glutamine_synthetase_deadenylase/glutamine_synthetase_adenylyltransferase
yraH	BW25113_RS16290	3280785	3281369	putative_fimbrial_protein_YraH
ydiB	BW25113_RS08850	1768046	1768912	quinate/shikimate_dehydrogenase
ygeW	BW25113_RS14925	2999624	3000811	putative_carbamoyltransferase_YgeW
glf	BW25113_RS10635	2100707	2101810	UDP-galactopyranose_mutase
yiaK	BW25113_RS18560	3736093	3737091	2,3-diketo-L-gulonate_reductase
dacD	BW25113_RS10505	2074862	2076028	D-alanyl-D-alanine_carboxypeptidase_DacD
vsr	BW25113_RS10240	2023929	2024399	DNA_mismatch_endonuclease_Vsr
paaA	BW25113_RS07285	1448184	1449113	phenylacetyl-CoA_1,2-epoxidase,_monooxygenase_subunit
BW25113_RS19985	BW25113_RS19985	4030501	4030577	tRNA-Ile
ybiR	BW25113_RS04250	849103	850221	putative_transporter_YbiR
aroL	BW25113_RS02010	401861	402385	shikimate_kinase_2
ygfZ	BW25113_RS15070	3034672	3035652	folate-binding_protein_YgfZ
yhbY	BW25113_RS16485	3321149	3321442	ribosome_assembly_factor_YhbY
yjiC	BW25113_RS22510	4545307	4546137	DUF2686_domain-containing_protein_YjiC
cysN	BW25113_RS14315	2867351	2868778	sulfate_adenylyltransferase_subunit_1
kbl	BW25113_RS18785	3784715	3785911	2-amino-3-ketobutyrate_CoA_ligase
dcuS	BW25113_RS21430	4339848	4341479	sensor_histidine_kinase_DcuS
BW25113_RS21850	BW25113_RS21850	4417511	4417912	TetR/AcrR_family_transcriptional_regulator
yfiM	BW25113_RS13505	2717487	2717810	DUF2279_domain-containing_protein_YfiM
BW25113_RS16670	BW25113_RS16670	3358544	3358912	YhcE_family_protein
elyC	BW25113_RS04770	968078	968857	envelope_biogenesis_factor
ribD	BW25113_RS02145	428911	430014	fused_diaminohydroxyphosphoribosylaminopyrimidine_deaminase_/_5-amino-6-(5-phosphoribosylamino)uracil_reductase
yfeD	BW25113_RS12515	2512292	2512684	putative_DNA-binding_transcriptional_regulator_YfeD
kefG	BW25113_RS17370	3473966	3474517	glutathione-regulated_potassium-efflux_system_ancillary_protein_KefG
frwC	BW25113_RS20490	4132458	4133537	putative_PTS_enzyme_IIC_component_FrwC
wbbI	BW25113_RS10625	2098546	2099538	&beta;-1,6-galactofuranosyltransferase_WbbI
ykgM	BW25113_RS01525	308225	308488	50S_ribosomal_subunit_protein_L31B
rplR	BW25113_RS17130	3438603	3438956	50S_ribosomal_protein_L18
ybaK	BW25113_RS02485	502059	502538	Cys-tRNA<sup>Pro</sup>/Cys-tRNA<sup>Cys</sup>_deacylase_YbaK
betA	BW25113_RS01600	321288	322958	choline_dehydrogenase
rdcB	BW25113_RS21340	4319177	4320055	regulator_of_diguanylate_cyclase_RdcB
yhdY	BW25113_RS16960	3414684	3415787	putative_ABC_transporter_membrane_subunit_YhdY
rspB	BW25113_RS08270	1647153	1648172	putative_zinc-binding_dehydrogenase_RspB
ydgK	BW25113_RS08510	1699507	1699947	DUF2569_domain-containing_inner_membrane_protein_YdgK
ygfS	BW25113_RS15000	3021883	3022371	putative_electron_transport_protein_YgfS
viaA	BW25113_RS19465	3921512	3922963	protein_ViaA
hcaT	BW25113_RS13225	2660066	2661205	putative_3-phenylpropionate_transporter
dusB	BW25113_RS16905	3403639	3404604	tRNA-dihydrouridine_synthase_B
relE	BW25113_RS08200	1639603	1639890	Qin_prophage;_mRNA_interferase_toxin_RelE
sgbE	BW25113_RS18600	3743446	3744141	L-ribulose-5-phosphate_4-epimerase_SgbE
livK	BW25113_RS17900	3589811	3590920	L-leucine/L-phenylalanine_ABC_transporter_periplasmic_binding_protein
ldcA	BW25113_RS06205	1237622	1238536	murein_tetrapeptide_carboxypeptidase
yehS	BW25113_RS11080	2205205	2205675	DUF1456_domain-containing_protein_YehS
ykgG	BW25113_RS01585	319469	320164	DUF162_domain-containing_lactate_utilization_protein_YkgG
yghB	BW25113_RS15620	3146922	3147581	DedA_family_protein_YghB
BW25113_RS23100	BW25113_RS23100	1282819	1282950	RtT_sRNA
hypB	BW25113_RS14195	2844360	2845232	hydrogenase_isoenzymes_nickel_incorporation_protein_HypB
uxuR	BW25113_RS22505	4544393	4545166	DNA-binding_transcriptional_repressor_UxuR
yebE	BW25113_RS09675	1923305	1923964	DUF533_domain-containing_inner_membrane_protein_YebE
pldB	BW25113_RS19860	4002530	4003552	lysophospholipase_L2
prs	BW25113_RS06285	1256384	1257331	ribose-phosphate_diphosphokinase
ycaD	BW25113_RS04660	941327	942475	MFS_transporter
torA	BW25113_RS05185	1054712	1057258	trimethylamine_<i>N</i>-oxide_reductase_1
nudE	BW25113_RS17600	3518948	3519508	ADP-sugar_diphosphatase_NudE
tsaC	BW25113_RS17020	3424202	3424774	L-threonylcarbamoyladenylate_synthase
yibF	BW25113_RS18650	3754707	3755315	glutathione_transferase-like_protein_YibF
der	BW25113_RS13100	2629243	2630715	50S_ribosomal_subunit_stability_factor
BW25113_RS02785	BW25113_RS02785	563491	563703	protein_ren
anmK	BW25113_RS08585	1712750	1713859	anhydro-<i>N</i>-acetylmuramic_acid_kinase
prc	BW25113_RS09590	1907025	1909073	tail-specific_protease
nanY	BW25113_RS22220	4495104	4496222	KpLE2_phage-like_element;_2,7-anhydro-<i>N</i>-acetylneuraminate_hydratase
mdtA	BW25113_RS10830	2147497	2148744	multidrug_efflux_pump_membrane_fusion_protein_MdtA
yjfC	BW25113_RS21750	4402845	4404008	peptide&mdash;spermidine_ligase_YjfC
nrdA	BW25113_RS11670	2338344	2340629	ribonucleoside-diphosphate_reductase_1_subunit_&alpha;
glnB	BW25113_RS13310	2680429	2680767	nitrogen_regulatory_protein_PII-1
corA	BW25113_RS19815	3994786	3995736	Ni<sup>2+</sup>/Co<sup>2+</sup>/Mg<sup>2+</sup>_transporter
gmhB	BW25113_RS01005	219320	219895	D-<i>glycero</i>-&beta;-D-<i>manno</i>-heptose-1,7-bisphosphate_7-phosphatase
otsA	BW25113_RS09925	1973669	1975093	trehalose-6-phosphate_synthase
bglB	BW25113_RS19345	3895649	3897061	6-phospho-&beta;-glucosidase_B
fumB	BW25113_RS21410	4335497	4337143	fumarase_B
acnA	BW25113_RS06675	1330088	1332763	aconitate_hydratase_1
wcaI	BW25113_RS10705	2118004	2119227	colanic_acid_biosynthesis_fucosyltransferase_WcaI
yhfZ	BW25113_RS17530	3504798	3505703	putative_DNA-binding_transcriptional_regulator_YhfZ
sgbH	BW25113_RS18590	3741937	3742599	3-keto-L-gulonate-6-phosphate_decarboxylase_SgbH
yjdI	BW25113_RS21435	4341660	4341890	PF06902_family_protein_YjdI
ydeT	BW25113_RS07890	1583110	1584336	fimbrial_biogenesis_outer_membrane_usher_protein
tpiA	BW25113_RS20335	4100668	4101435	triose-phosphate_isomerase
ygbN	BW25113_RS14260	2858460	2859824	GntP_family_transporter
ydgA	BW25113_RS08445	1684109	1685617	DUF945_domain-containing_protein_YdgA
yggP	BW25113_RS15230	3069538	3070815	putative_zinc-binding_dehydrogenase_YggP
mgrB	BW25113_RS09565	1902880	1903023	PhoQ_kinase_inhibitor
narZ	BW25113_RS07700	1533107	1536847	nitrate_reductase_Z_subunit_&alpha;
znuC	BW25113_RS09745	1936919	1937674	Zn<sup>2+</sup>_ABC_transporter_ATP_binding_subunit
mhpD	BW25113_RS01810	367571	368380	2-hydroxypentadienoate_hydratase
rusA	BW25113_RS02830	568827	569189	DLP12_prophage;_crossover_junction_endodeoxyribonuclease_RusA
ybgA	BW25113_RS03660	734457	734966	DUF1722_domain-containing_protein_YbgA
BW25113_RS03455	BW25113_RS03455	692212	692286	tRNA-Gln
purE	BW25113_RS02685	548047	548556	<i>N<sup>5</sup></i>-carboxyaminoimidazole_ribonucleotide_mutase
tcyP	BW25113_RS09045	1805191	1806582	cystine/sulfocysteine:cation_symporter
glyQ	BW25113_RS18475	3717767	3718678	glycine&mdash;tRNA_ligase_subunit_&alpha;
cusC	BW25113_RS02965	591056	592429	copper/silver_export_system_outer_membrane_channel
gcl	BW25113_RS02610	529372	531153	glyoxylate_carboligase
ibsB	BW25113_RS25675	2147162	2147218	putative_toxic_peptide_IbsB
folD	BW25113_RS02715	552331	553197	bifunctional_methylenetetrahydrofolate_dehydrogenase_/_methenyltetrahydrofolate_cyclohydrolase
glnP	BW25113_RS04205	841916	842575	L-glutamine_ABC_transporter_membrane_subunit
BW25113_RS21645	BW25113_RS21645	4382400	4382475	tRNA-Gly
opgH	BW25113_RS05470	1106319	1108862	osmoregulated_periplasmic_glucans_biosynthesis_protein_H
wcaB	BW25113_RS10745	2125548	2126036	colanic_acid_biosynthesis_acetyltransferase_WcaB
wzzB	BW25113_RS10590	2090802	2091782	O-antigen_co-polymerase
artM	BW25113_RS04470	896322	896990	L-arginine_ABC_transporter_membrane_subunit_ArtM
deoC	BW25113_RS22820	4607140	4607919	deoxyribose-phosphate_aldolase
yfcC	BW25113_RS12005	2410560	2412080	putative_transporter_YfcC
treB	BW25113_RS22020	4454576	4455997	trehalose-specific_PTS_enzyme_IIBC_component
yjbJ	BW25113_RS21005	4249165	4249374	putative_stress_response_protein_YjbJ
BW25113_RS16685	BW25113_RS16685	3360109	3360288	YhcE_family_protein
yihO	BW25113_RS20115	4057723	4059126	putative_sulfoquinovose_transporter
qseB	BW25113_RS15700	3163187	3163846	DNA-binding_transcriptional_activator_QseB
ycjN	BW25113_RS06865	1366166	1367458	putative_ABC_transporter_periplasmic_binding_protein_YcjN
rpmB	BW25113_RS18885	3804798	3805034	50S_ribosomal_protein_L28
yhhS	BW25113_RS17980	3603876	3605093	MFS_transporter
fhuE	BW25113_RS05735	1154818	1157007	ferric_coprogen/ferric_rhodotorulic_acid_outer_membrane_transporter
syd	BW25113_RS14530	2918094	2918639	SecY-interacting_protein
ppnN	BW25113_RS14540	2919667	2921031	nucleotide_5'-monophosphate_nucleosidase
amn	BW25113_RS10350	2048542	2049996	AMP_nucleosidase
yjcE	BW25113_RS21110	4269908	4271557	putative_transporter_YjcE
feaB	BW25113_RS07270	1441776	1443275	phenylacetaldehyde_dehydrogenase
paoC	BW25113_RS01460	294447	296645	aldehyde_dehydrogenase,_molybdenum_cofactor-binding_subunit
glnH	BW25113_RS04210	842714	843460	L-glutamine_ABC_transporter_periplasmic_binding_protein
yqhA	BW25113_RS15590	3142336	3142830	UPF0114_family_protein_YqhA
ymfH	BW25113_RS25530	1196525	1196836	e14_prophage;_putative_protein_YmfH
yjfI	BW25113_RS21725	4399950	4400351	DUF2170_domain-containing_protein_YjfI
flhE	BW25113_RS09845	1956837	1957229	flagellar_protein_FlhE
phnO	BW25113_RS21260	4304921	4305355	aminoalkylphosphonate_<i>N</i>-acetyltransferase
ftp	BW25113_RS11555	2303958	2305013	FAD:protein_FMN_transferase
yehW	BW25113_RS11105	2209224	2209955	glycine_betaine_ABC_transporter_membrane_subunit_YehW
fiu	BW25113_RS04180	834705	836987	iron_catecholate_outer_membrane_transporter_Fiu
BW25113_RS12250	BW25113_RS12250	2459788	2459862	tRNA-Arg
hypA	BW25113_RS14190	2844006	2844356	hydrogenase_3_nickel_incorporation_protein_HypA
yafY	BW25113_RS25425	261821	262264	CP4-6_prophage;_inner_membrane_lipoprotein_YafY
ptsH	BW25113_RS12600	2527123	2527380	phosphocarrier_protein_HPr
aqpZ	BW25113_RS04540	910808	911503	water_channel_AqpZ
hydN	BW25113_RS14120	2830937	2831464	putative_electron_transport_protein_HydN
emrD	BW25113_RS19095	3847282	3848466	multidrug_efflux_pump_EmrD
pstB	BW25113_RS19365	3900953	3901726	phosphate_ABC_transporter_ATP_binding_subunit
ydaV	BW25113_RS07135	1416240	1416986	Rac_prophage;_putative_ATP-binding_protein_YdaV
BW25113_RS01305	BW25113_RS01305	267475	267900	IS3_family_transposase
rimP	BW25113_RS16435	3310913	3311365	ribosome_maturation_factor_RimP
pncB	BW25113_RS04830	984610	985812	nicotinate_phosphoribosyltransferase
cbrA	BW25113_RS19180	3862737	3863801	colicin_M_resistance_protein
ynjF	BW25113_RS09195	1835040	1835660	CDP-alcohol_phosphatidyltransferase_domain-containing_protein_YnjF
ccmD	BW25113_RS11470	2288856	2289065	cytochrome_<i>c</i>_maturation_protein_D
glxR	BW25113_RS02620	532042	532920	tartronate_semialdehyde_reductase_2
nusA	BW25113_RS16430	3309398	3310885	transcription_termination/antitermination_protein_NusA
mqsA	BW25113_RS15680	3161210	3161605	antitoxin_of_the_MqsRA_toxin-antitoxin_system_/_DNA-binding_transcriptional_repressor_MqsA
ybbO	BW25113_RS02545	513796	514605	NADP<sup>+</sup>-dependent_aldehyde_reductase_YbbO
ymgK	BW25113_RS25985	1207716	1207760	protein_YmgK
holE	BW25113_RS09655	1919365	1919595	DNA_polymerase_III_subunit_&theta;
folA	BW25113_RS00250	49823	50302	dihydrofolate_reductase
yhaK	BW25113_RS16130	3247678	3248379	bicupin-related_protein
plaP	BW25113_RS10525	2079185	2080543	putrescine:H+_symporter_PlaP
ydiO	BW25113_RS08865	1771453	1772604	putative_acyl-CoA_dehydrogenase_YdiO
yffR	BW25113_RS12770	2557339	2557731	CPZ-55_prophage;_uncharacterized_protein_YffR
sdaC	BW25113_RS14545	2921588	2922877	L-serine:H+_symporter
yegP	BW25113_RS10860	2158670	2159002	DUF1508_domain-containing_protein_YegP
BW25113_RS22180	BW25113_RS22180	4488089	4489317	IS3-like_element_IS2_family_transposase
rhtC	BW25113_RS19850	4001117	4001737	L-threonine_exporter
rlmG	BW25113_RS16020	3228098	3229234	23S_rRNA_m<sup>2</sup>G1835_methyltransferase
flhB	BW25113_RS09855	1959300	1960448	flagellar_biosynthesis_protein_FlhB
hsdM	BW25113_RS22640	4571276	4572865	type_I_restriction_enzyme_EcoKI_methylase_subunit
mutT	BW25113_RS00495	107531	107920	8-oxo-dGTP_diphosphatase
yfjY	BW25113_RS13780	2769745	2770227	CP4-57_prophage;_RadC-like_JAB_domain-containing_protein_YfjY
BW25113_RS01350	BW25113_RS01350	274889	275586	IS1_family_transposase
ariR	BW25113_RS06055	1211825	1212091	putative_two-component_system_connector_protein_AriR
emrB	BW25113_RS13975	2805975	2807513	multidrug_efflux_pump_membrane_subunit_EmrB
ycaL	BW25113_RS04715	955720	956484	periplasmic_protease_YcaL
ybgS	BW25113_RS03905	780393	780773	PF13985_family_protein_YbgS
BW25113_RS24210	BW25113_RS24210	2776424	2776642	recombinase_family_protein
yejG	BW25113_RS11385	2271372	2271716	protein_YejG
yadI	BW25113_RS00645	141064	141504	PTS_sugar_transporter_subunit_IIA
yidF	BW25113_RS19100	3848474	3848971	uncharacterized_protein_YidF
BW25113_RS14635	BW25113_RS14635	2940746	2940822	tRNA-Met
yadS	BW25113_RS00790	173488	174111	PF03458_family_protein_YadS
yfjF	BW25113_RS13665	2747367	2747657	putative_component_of_the_Rsx_system
tsuB	BW25113_RS10515	2077707	2077934	putative_thiosulfate_sulfurtransferase
yadE	BW25113_RS00650	141568	142797	putative_polysaccharide_deacetylase_lipoprotein_YadE
BW25113_RS03650	BW25113_RS03650	732281	733417	ISAs1_family_transposase
gluQ	BW25113_RS00720	155673	156599	glutamyl-Q_tRNA<sup>Asp</sup>_synthetase
yfjX	BW25113_RS13775	2769278	2769736	CP4-57_prophage;_putative_antirestriction_protein_YfjX
ycaQ	BW25113_RS04750	964845	966077	interstrand_DNA_crosslink_repair_glycosylase
ynaK	BW25113_RS07155	1419634	1419897	Rac_prophage;_ParB-like_nuclease_domain-containing_protein_YnaK
higA	BW25113_RS16005	3227087	3227503	antitoxin/DNA-binding_transcriptional_repressor_HigA
plsB	BW25113_RS20985	4243971	4246394	glycerol-3-phosphate_1-<i>O</i>-acyltransferase
yfaV	BW25113_RS11735	2352342	2353631	putative_transporter_YfaV
maeB	BW25113_RS12840	2569457	2571736	malate_dehydrogenase_(oxaloacetate-decarboxylating)_(NADP<sup>+</sup>)
bioD	BW25113_RS04040	807726	808403	dethiobiotin_synthetase
ispA	BW25113_RS02180	435658	436557	geranyl_diphosphate/farnesyl_diphosphate_synthase
mdtL	BW25113_RS19290	3884975	3886150	efflux_pump_MdtL
BW25113_RS25790	BW25113_RS25790	3953372	3953820	type_II_toxin-antitoxin_system_PemK/MazF_family_toxin
fliK	BW25113_RS10160	2011867	2012994	flagellar_hook-length_control_protein
bioP	BW25113_RS19870	4004436	4005335	biotin_transporter
atoD	BW25113_RS11600	2316926	2317588	acetyl-CoA:acetoacetyl-CoA_transferase_subunit_&alpha;
arsC	BW25113_RS18150	3643597	3644022	arsenate_reductase
hemB	BW25113_RS01905	384209	385183	porphobilinogen_synthase
dcm	BW25113_RS10245	2024380	2025798	DNA-cytosine_methyltransferase
yodB	BW25113_RS10310	2035849	2036379	putative_cytochrome_b561_YodB
ygaP	BW25113_RS13890	2790879	2791403	thiosulfate_sulfurtransferase_YgaP
yqfH	BW25113_RS25740	3026298	3026369	protein_YqfH
idlP	BW25113_RS25840	4546730	4546813	<i>iraD</i>_leader_peptide
cas1	BW25113_RS14335	2872214	2873131	multifunctional_nuclease_Cas1
